dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,beit_base_patch16_224,1,14.405231,12.256048,11.099808,6.173059,1.153185,10.400079,2.048562,1.207556,0.224181,0.429769,10.172526,5.953624
cuda,cait_m36_384,1,40.298789,33.687673,32.585660,14.926871,3.692508,26.103819,8.343379,3.387375,1.807109,4.714551,13.749522,20.091128
cuda,convit_base,32,23.756307,21.690906,20.529553,14.764932,1.687094,24.472694,3.816313,1.579171,0.289722,23.319582,28.123398,34.880916
cuda,convmixer_768_32,16,16.113493,14.833472,13.682452,5.540147,2.733319,9.005657,2.528247,1.394292,0.308986,8.910250,15.360186,8.168688
cuda,convnext_base,1,21.731678,18.622675,17.452125,11.144439,2.288176,26.875076,3.830943,1.458336,0.426061,53.362596,89.429410,71.587850
cuda,cspdarknet53,1,27.593996,24.170792,23.100978,14.740468,2.423899,25.546930,3.474491,1.179860,0.269624,0.612742,14.330267
cuda,deit_base_distilled_patch16_224,64,15.111675,13.404301,12.243458,7.862307,1.108389,14.903898,2.557824,1.192328,0.208942,4.532782,5.491658,12.810476
cuda,dpn107,16,46.988392,41.489777,40.371620,24.980476,4.484260,39.967316,6.838505,3.107708,0.563308,8.829121,29.129499,7.704876
cuda,ese_vovnet19b_dw,1,16.063812,14.587212,13.403422,10.256337,1.011605,16.600260,2.066219,0.724212,0.095667,0.385128,7.840526
cuda,ghostnet_100,1,36.878558,32.470008,31.421740,20.129364,3.235500,35.385917,4.286037,1.398485,0.359232,0.688349,19.508725
cuda,jx_nest_base,1,37.559514,34.202036,33.031017,23.989270,2.461128,35.512795,5.551910,2.108251,0.557397,0.666797,36.337766,15.177020
cuda,mobilevit_s,32,64.456516,61.587862,60.418695,52.858468,3.217800,76.841243,12.278050,5.521480,0.364522,29.787185,120.790143,57.218137
cuda,pnasnet5large,8,69.693622,65.126294,64.024856,36.081103,9.326295,63.874540,17.757063,8.378691,2.032384,8.420987,46.376944,7.123269
cuda,poolformer_m36,32,32.336079,28.710191,27.632082,16.726544,6.165821,38.610260,12.433568,4.531648,0.652056,35.176440,63.575934,33.866675
cuda,regnety_002,1,20.498815,17.980413,16.808205,11.023019,1.917922,18.334204,2.107821,0.808268,0.198882,0.464907,9.871168
cuda,res2net101_26w_4s,1,52.704732,46.942473,45.854682,22.551622,6.128775,36.072256,10.979367,3.377043,0.846403,1.339157,21.653062
cuda,resnest101e,32,53.604955,47.747692,46.640982,26.630267,5.715855,47.779209,10.369617,4.377104,1.238403,81.830578,111.565818,109.283550
cuda,sebotnet33ts_256,32,38.852317,36.413136,35.223708,28.856629,2.897378,47.464623,7.652259,3.170683,0.225788,59.493805,83.534021,81.393685
cuda,swin_base_patch4_window7_224,32,71.463185,66.976432,65.859974,54.024782,3.928514,88.612198,11.560946,4.620790,0.734178,34.921579,64.477111,73.780669
cuda,swsl_resnext101_32x16d,16,30.019865,26.682348,25.354176,12.670539,3.687880,21.047758,5.101101,2.027711,0.504889,8.649573,21.091109,7.632839
cuda,twins_pcpvt_base,32,53.082230,47.953610,46.835433,33.420116,3.785634,53.823312,9.030516,3.492953,1.217858,53.355970,84.477537,77.933391
cuda,vit_base_patch16_224,64,16.093596,14.426118,13.260941,8.918819,1.086511,15.675874,2.273104,1.132052,0.206017,5.015933,5.949302,12.987007
cuda,volo_d1_224,2,34.604053,31.940713,30.765930,22.705674,3.115654,32.862102,6.519214,2.951486,0.467480,0.620759,69.778437,14.131925
cuda,xcit_large_24_p8_224,2,49.428062,43.279753,42.155079,23.815162,6.192295,40.974342,11.657757,5.036685,2.006812,0.368480,35.412276,24.677637
